"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSSSCG00000028996",319.627660629669,0.549619468019639,0.1326207815036,4.1442936905384,3.40862669768939e-05,0.000361235033674134
"ENSSSCG00000005267",585.915231210498,-0.170670128418513,0.165503904978371,-1.03121511508032,0.30243995405256,0.47869587604192
"ENSSSCG00000005268",1.31932622065956,0.258416775886158,0.465896676807431,0.554665419931659,0.579123532970954,0.728965920934704
"ENSSSCG00000005269",9.00290644223338,0.592188600196395,0.191862940409485,3.08651894384872,0.00202515041966559,0.0104085972403814
"ENSSSCG00000031382",239.145107450459,-0.0623754439839753,0.085132350685196,-0.732687908673265,0.463748800313675,0.632367497682683
"ENSSSCG00000005271",1053.06715042781,0.150815384234801,0.114150480708323,1.32119797743265,0.186435360543692,0.342063008223276
"ENSSSCG00000005272",17.4202679489414,-0.0365513166140482,0.17802636155741,-0.205314068626073,0.837326753017959,0.907302614461167
"ENSSSCG00000005273",159.722231976194,-0.013278323793665,0.109536888427214,-0.121222393518037,0.903514887450398,0.947086843222825
"ENSSSCG00000045514",0,NA,NA,NA,NA,NA
"ENSSSCG00000023520",53.4173557768064,-0.476821393607513,0.146925247609616,-3.24533326548776,0.00117313241696428,0.00667771625894619
"ENSSSCG00000057774",1.34686362940564,0.443042176837889,0.402023750357552,1.10202985879281,0.27044869083481,0.44316217908014
"ENSSSCG00000037277",211.709598671931,-0.0288412014357215,0.0834631145399043,-0.345556256733414,0.729676224970941,0.839360360150162
"ENSSSCG00000005277",53.0030879448007,-0.154775856129982,0.145609877078262,-1.06294888255962,0.287805133359037,0.462892108513589
"ENSSSCG00000004361",7.30485396268805,0.306122339013613,0.26519231864604,1.154340897114,0.248360435760122,0.418054953626661
"ENSSSCG00000004349",756.390878816794,0.147019409419508,0.0795836286381841,1.84735745196932,0.0646953514304951,0.158310260394461
"ENSSSCG00000004272",544.223985870236,-0.191082354828792,0.0728902861880798,-2.62150644237751,0.00875421077323753,0.033926388824491
"ENSSSCG00000037594",950.506701267985,0.641980114907304,0.178410918695574,3.59832301521145,0.000320275687310075,0.00232139909988107
"ENSSSCG00000044472",16.3423159379918,0.184470438137473,0.306365024035556,0.602126299234679,0.547090069681163,0.703625595484511
"ENSSSCG00000004261",2.23004085783853,0.449061939099983,0.305917738726985,1.46791729361188,0.142126690055841,0.282377352940441
"ENSSSCG00000050732",0.195967671482874,0.0713994942935645,1.28827548888766,0.0554225357149451,0.95580184252333,NA
"ENSSSCG00000004351",189.469051078499,0.25797832465173,0.163060444378703,1.58210242609534,0.113626189875459,0.240103662722574
"ENSSSCG00000004262",138.086350828241,0.128558927553997,0.147938112084702,0.869004786815116,0.384844512558357,0.561735493759077
"ENSSSCG00000038757",287.465205009659,-0.0846346244674522,0.141565828757155,-0.597846423889739,0.549942411152894,0.705788012465512
"ENSSSCG00000004353",294.527932868824,0.232147969049881,0.0667807155655251,3.47627255988442,0.000508435276883,0.0033781499528446
"ENSSSCG00000005284",12.1868913235251,-0.472103277032477,0.239146011900743,-1.9741214719835,0.0483679323725751,0.127492510014991
"ENSSSCG00000004263",70.4342937016841,0.0931355115064312,0.110309230221197,0.844312949330459,0.398494551862403,0.57433134872091
"ENSSSCG00000021802",302.767186802484,0.0202471299867951,0.0785466710275922,0.257771968205789,0.796582899679184,0.883527789277942
"ENSSSCG00000031105",26.5668362412942,0.104880138041466,0.119445838223399,0.878056026073587,0.379913315172526,0.557300846811665
"ENSSSCG00000004354",0,NA,NA,NA,NA,NA
"ENSSSCG00000004355",11.9888247065417,0.0641408003874902,0.15035712003029,0.426589711046398,0.669678193120197,0.798563720995546
"ENSSSCG00000034919",0.156568943580372,-0.0354667056523078,1.28397516839832,-0.0276225791006148,0.97796317301678,NA
"ENSSSCG00000023834",5.89566766488336,0.621396248146852,0.291089659401138,2.13472457051638,0.0327835147682942,0.0951701250212415
"ENSSSCG00000032533",0.865589323857865,0.716702412484332,0.560052742210346,1.27970521071951,0.200648831344772,0.36036817251166
"ENSSSCG00000031854",0.0427837559617386,-0.0354748454934309,2.93830572437454,-0.012073231590284,0.990367188933463,NA
"ENSSSCG00000025941",916.636977889901,-0.252995459232098,0.0562395346216313,-4.49853401053552,6.8423651449691e-06,9.23650086561945e-05
"ENSSSCG00000004356",0.194999221436693,1.14436054243174,1.59163047643521,0.718986322123442,0.472149347288853,NA
"ENSSSCG00000030268",15281.2798478717,0.413220049342006,0.118003154033573,3.50177122574574,0.000462176286149385,0.00313297243891587
"ENSSSCG00000027002",5.9410988091021,-0.413258536081659,0.219677346286096,-1.88120688395176,0.059943781669426,0.149945591058383
"ENSSSCG00000005266",13.2089747980356,1.3179924705241,0.324266934362154,4.06452934560425,4.81294834466672e-05,0.000482234298858273
"ENSSSCG00000005288",633.688968517682,-0.194007230566049,0.135122947941534,-1.43578299261198,0.151064100766664,0.294809147323831
"ENSSSCG00000035934",136.595674961866,0.837966378439316,0.18152773744973,4.61618918525536,3.90850672154342e-06,5.8260905479209e-05
"ENSSSCG00000005036",31.2064625769262,0.384047882280488,0.337076855310146,1.13934812263252,0.254557984310807,0.42541082627248
"ENSSSCG00000004241",339.115873916717,0.374215920566909,0.149169096983927,2.50866920919439,0.01211869108216,0.0439739127739281
"ENSSSCG00000005037",411.683977925159,0.264635606989082,0.0742173001583947,3.56568625407144,0.000362905319551916,0.00257715558428868
"ENSSSCG00000004242",42.192723081408,0.181276403047311,0.131269434586883,1.38094906569686,0.16729462207217,0.317237002866608
"ENSSSCG00000035799",0.0379608120338047,-0.0354748454934307,2.93830572437454,-0.0120732315902839,0.990367188933463,NA
"ENSSSCG00000044458",0,NA,NA,NA,NA,NA
"ENSSSCG00000005291",601.719820712306,-0.626220068747367,0.17064179704521,-3.66979297915771,0.000242746978567076,0.0018576268210758
"ENSSSCG00000005038",1510.65554491667,0.164405527184739,0.0679880445340625,2.41815349024152,0.0155994950824817,0.0537220526503012
"ENSSSCG00000028308",0,NA,NA,NA,NA,NA
"ENSSSCG00000033805",2.16260948613222,-0.550816104549477,0.351920108941269,-1.56517371572365,0.11754218275243,0.246034813521633
"ENSSSCG00000037497",0.257205476590667,0.285132162024961,1.17297530417796,0.243084539810312,0.807939907518973,NA
"ENSSSCG00000033763",387.767800509597,0.357386266529818,0.115462124615003,3.0952684070338,0.00196634866466254,0.0101532973737115
"ENSSSCG00000004344",24.4328078015562,0.0581895223402695,0.165867879878011,0.350818509183729,0.725724510357072,0.836930639601257
"ENSSSCG00000005286",89.3406806159798,0.312894669947679,0.0671130873187208,4.6622005103377,3.12846160577682e-06,4.82873345304905e-05
"ENSSSCG00000004274",0.539303449375379,-0.239755738672105,0.851085513206278,-0.281705815634057,0.778169094793831,0.871371674070827
"ENSSSCG00000005039",523.581500465539,0.141318249945025,0.110032920781506,1.28432698997096,0.199027566959284,0.358496748511598
"ENSSSCG00000005040",182.324244074027,-0.130367036483479,0.0736491024017592,-1.77011032357626,0.0767087641157363,0.179837539387859
"ENSSSCG00000004250",154.248678732388,-0.00432189369863098,0.25830234708431,-0.0167319180310054,0.986650483815278,0.992720710799505
"ENSSSCG00000005287",52.2942821293999,-0.542067734153761,0.190319504930457,-2.84819852989757,0.00439674873957115,0.0196119681411486
"ENSSSCG00000005041",1884.74580134791,-0.00411849827934621,0.080920684792843,-0.0508954946425573,0.959408795613347,0.979257100570389
"ENSSSCG00000020885",284.869162523612,-0.0425941314412663,0.0625191792703798,-0.681297034579697,0.495683559303438,0.659867613625185
"ENSSSCG00000058846",0.0707092518045205,0.391991457889124,2.3161469073656,0.169242916605397,0.865605574082702,NA
"ENSSSCG00000004252",22.2840441150272,-7.73021735023184,0.832335435133397,-9.28738225471914,1.58129476054276e-20,9.04455423180156e-18
