"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","tissue"
428.521450897207,-0.668655567680075,0.287039780676083,-2.32948745329009,0.0198332569156429,0.188448755485034,"ENSSSCG00000028996","EDL"
593.588747687112,0.206041952563457,0.236508843797982,0.871180752714054,0.383655467464502,0.758175023590895,"ENSSSCG00000005267","EDL"
8.93268823168892,-0.117358227180027,0.73953853018917,-0.158691159945388,0.873912203261353,0.973255348251889,"ENSSSCG00000005269","EDL"
230.214994871661,0.0929793400607349,0.237650230258915,0.391244477059567,0.6956165352033,0.919779572288984,"ENSSSCG00000031382","EDL"
1016.48472526694,0.369902849949392,0.20856727806529,1.77354210775862,0.0761389209343433,0.37942606312196,"ENSSSCG00000005271","EDL"
12.8085738871801,0.0304384843535959,0.649841522827079,0.0468398575412292,0.962640862155532,0.994018203578928,"ENSSSCG00000005272","EDL"
175.165121403089,0.0196396793999544,0.247881482201914,0.0792301192710987,0.936849588174213,0.988850870270341,"ENSSSCG00000005273","EDL"
64.5208538054426,0.760598315596806,0.309801465805497,2.45511529010755,0.0140839411226873,0.15388367024233,"ENSSSCG00000023520","EDL"
235.816923339239,0.502092665932224,0.282660013347613,1.77631303411408,0.0756813360706672,0.377932849379676,"ENSSSCG00000037277","EDL"
52.3853480538893,0.341481919598331,0.385000426230281,0.886965042979147,0.375097721214334,0.753185731954434,"ENSSSCG00000005277","EDL"
677.635049247242,0.0551720617835377,0.190716326819167,0.289288613637418,0.772360524996327,0.948144451156108,"ENSSSCG00000004349","EDL"
623.097328233682,-0.124867054082792,0.210367795874414,-0.593565443625865,0.552802799473207,0.855235968969486,"ENSSSCG00000004272","EDL"
1128.2826269557,-0.307179409684614,0.291595465998549,-1.05344371056216,0.292137679829112,0.687433862237762,"ENSSSCG00000037594","EDL"
17.3159597823595,-0.306509711495637,0.575567704348626,-0.532534590074883,0.594355791343,0.87658028183435,"ENSSSCG00000044472","EDL"
230.959650896953,0.678496893288231,0.276828328818007,2.45096625834956,0.0142473307991431,0.154844003242465,"ENSSSCG00000004351","EDL"
211.823757511446,0.48170275360604,0.315944321264909,1.52464444265845,0.127347805987052,0.483815043841586,"ENSSSCG00000004262","EDL"
350.282099742923,0.396760776614305,0.236425114930273,1.67816679176118,0.0933145426523335,0.417335449732445,"ENSSSCG00000038757","EDL"
365.791849668899,-0.284770382152424,0.195954354139687,-1.45324855578062,0.146154755084516,0.516960783135844,"ENSSSCG00000004353","EDL"
10.7637384003497,0.908436809564643,0.786719312231627,1.15471527829633,0.248207040869762,0.641611178568091,"ENSSSCG00000005284","EDL"
